date,open,high,low,close,volume,return
2013-02-08,43.92,43.96,42.07,42.67,7888705,0.0
2013-02-11,42.79,44.69,42.52,44.28,9586165,0.03773142723224754
2013-02-12,43.67,45.16,43.63,44.03,6457410,-0.00564588979223124
2013-02-13,44.19,44.5,43.91,44.33,5095137,0.006813536225300787
2013-02-14,44.14,45.0,44.07,44.86,5003102,0.011955786149334457
2013-02-15,44.82,45.3,44.2,44.95,4422029,0.002006241640659878
2013-02-19,44.85,46.055,44.75,46.02,5092975,0.023804226918798577
2013-02-20,45.25,46.12,45.05,45.9,4387833,-0.0026075619295958807
2013-02-21,45.61,46.20399999999999,45.2,45.85,3500961,-0.0010893246187363426
2013-02-22,45.84,46.11,45.67,46.04,2356324,0.004143947655397939
2013-02-25,46.08,46.73,45.55,45.55,2801282,-0.010642919200695045
2013-02-26,45.7,46.01,44.93,45.87,2595326,0.007025246981339217
2013-02-27,45.85,46.78,45.79,46.72,1951895,0.018530630041421414
2013-02-28,46.51,46.95,46.19,46.55,2853013,-0.003638698630136994
2013-03-01,46.53,47.47,46.38,47.26,1942479,0.015252416756176279
2013-03-04,47.35,47.38,46.985,47.14,1888023,-0.002539145154464628
2013-03-05,47.19,48.44,46.562,48.19,2982127,0.02227407721680086
2013-03-06,48.18,48.57,47.6,47.93,2639656,-0.005395310230338235
2013-03-07,47.89,48.44,47.62,47.73,1601120,-0.0041727519298978555
2013-03-08,47.91,48.075,47.37,47.56,2397188,-0.003561701236119763
2013-03-11,47.71,49.5,47.52,48.59,4403683,0.021656854499579437
2013-03-12,48.46,48.68,47.7,48.45,2537958,-0.0028812512862729234
2013-03-13,48.32,49.46,48.02,49.35,3243764,0.018575851393188847
2013-03-14,49.43,49.68,48.62,48.87,1750903,-0.009726443768997006
2013-03-15,48.71,49.17,48.64,48.9,2382827,0.0006138735420504471
2013-03-18,48.33,48.515,48.0,48.39,1587564,-0.010429447852760676
2013-03-19,48.6,48.695,47.565,47.79,1318796,-0.012399256044637319
2013-03-20,47.99,48.73,47.99,48.53,1243985,0.015484410964637041
2013-03-21,48.23,48.91,48.14,48.59,1343690,0.0012363486503195187
2013-03-22,48.7,49.1,48.19,48.37,1270918,-0.004527680592714689
2013-03-25,49.01,50.18,49.01,50.03,3543377,0.03431879264006632
2013-03-26,50.26,50.53,49.78,50.34,2521010,0.006196282230661598
2013-03-27,49.93,50.6,48.93,50.46,2403157,0.0023837902264600697
2013-03-28,50.51,52.38,50.33,52.08,3289065,0.03210463733650415
2013-04-01,51.87,52.27,51.3,51.55,2287938,-0.01017665130568357
2013-04-02,51.63,52.09,51.45,51.82,1864547,0.005237633365664518
2013-04-03,51.85,52.11,51.18,51.27,2191341,-0.0106136626785025
